sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n
1,2342,47,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",380,1
1,2342,47,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",420,1
1,2342,47,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",475,1
1,2342,47,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",508,1
2,1735,35,35,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
3,2370,48,20,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",468,1
4,1070,22,20,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
5,2179,44,29,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
6,2215,45,15,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",203,1
6,2215,45,15,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",338,1
7,1168,24,18,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",667,1
8,95,2,45,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
9,1432,29,32,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",905,1
9,1432,29,32,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",943,1
9,1432,29,32,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",959,1
9,1432,29,32,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",963,1
9,1432,29,32,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",971,1
10,1286,26,36,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",931,1
10,1286,26,36,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",977,1
11,2175,44,25,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",492,1
11,2175,44,25,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",569,1
11,2175,44,25,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",592,1
12,289,6,39,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
13,780,16,30,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",892,1
14,1002,21,2,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",461,1
14,1002,21,2,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",491,1
15,1915,39,15,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",155,1
15,1915,39,15,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",215,1
15,1915,39,15,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",241,1
16,751,16,1,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",549,1
17,122,3,22,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
18,2500,50,50,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
19,2247,45,47,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",218,1
19,2247,45,47,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",220,1
19,2247,45,47,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",250,1
19,2247,45,47,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",264,1
19,2247,45,47,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",275,1
19,2247,45,47,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",382,1
20,1292,26,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",682,1
20,1292,26,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",768,1
20,1292,26,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",787,1
21,2274,46,24,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",462,1
21,2274,46,24,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",470,1
21,2274,46,24,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",572,1
22,2181,44,31,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
23,814,17,14,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",NA,NA
24,1455,30,5,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",97,1
24,1455,30,5,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",141,1
24,1455,30,5,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",142,1
25,851,18,1,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",476,1
25,851,18,1,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",532,1
25,851,18,1,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",570,1
26,1345,27,45,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",669,1
26,1345,27,45,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",690,1
26,1345,27,45,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",766,1
27,1686,34,36,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",931,1
28,1824,37,24,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",703,1
28,1824,37,24,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",728,1
29,653,14,3,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",772,1
30,542,11,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",857,1
30,542,11,42,1,2499,"25326636",127,0,"start",50,0.9,NA,"random",933,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",3,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",7,3
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",10,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",11,5
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",14,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",15,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",19,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",21,3
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",29,2
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",30,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",36,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",45,3
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",47,2
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",49,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",51,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",56,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",58,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",61,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",74,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",82,2
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",89,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",93,2
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",121,1
1,1959,40,9,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",133,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",557,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",571,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",572,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",575,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",579,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",584,2
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",585,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",599,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",618,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",619,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",630,3
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",639,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",642,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",646,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",649,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",652,3
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",678,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",688,2
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",689,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",694,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",695,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",700,2
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",702,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",716,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",722,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",727,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",729,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",814,1
2,278,6,28,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",834,1
3,633,13,33,1,2499,"25326636",127,40,"pre_fragmentation",50,0.9,NA,"random",702,1
