sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n
1,1805,37,5,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",508,1
1,1805,37,5,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",600,1
2,982,20,32,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",685,1
2,982,20,32,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",800,1
3,282,6,32,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",452,1
4,1332,27,32,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
5,1817,37,17,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",211,1
5,1817,37,17,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",226,1
5,1817,37,17,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",284,1
5,1817,37,17,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",351,1
6,1469,30,19,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
7,190,4,40,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",431,1
8,1863,38,13,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",724,1
8,1863,38,13,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",782,1
9,281,6,31,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
10,275,6,25,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",809,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",716,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",800,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",859,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",864,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",882,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",886,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",899,1
11,1549,31,49,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",904,1
12,1563,32,13,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",624,1
13,987,20,37,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",630,1
14,345,7,45,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",421,1
14,345,7,45,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",488,1
15,239,5,39,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
16,301,7,1,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",608,1
17,1175,24,25,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",197,1
17,1175,24,25,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",371,1
18,159,4,9,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
19,1719,35,19,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
20,1866,38,16,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",592,1
21,915,19,15,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",612,1
22,1352,28,2,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",554,1
23,1786,36,36,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
24,2031,41,31,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",602,1
24,2031,41,31,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",672,1
24,2031,41,31,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",734,1
25,1411,29,11,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",323,1
26,707,15,7,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",710,1
26,707,15,7,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",716,1
26,707,15,7,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",769,1
27,683,14,33,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",671,1
27,683,14,33,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",726,1
27,683,14,33,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",821,1
28,1645,33,45,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
29,771,16,21,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
30,990,20,40,1,2499,"25326641",117,0,"start",50,0.3,NA,"random",NA,NA
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",313,1
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",338,1
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",366,1
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",373,2
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",374,1
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",387,7
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",398,1
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",447,2
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",457,3
1,1049,21,49,1,2499,"25326641",117,40,"pre_fragmentation",50,0.3,NA,"random",463,2
