sim_id,master_seed,grid_size,fragmentation,ac_amount,habitat,niche_breadth,edge_effect,dispersal,dispersal_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,198,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,208,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,243,2
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,261,2
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,262,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,263,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,266,2
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,276,2
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,306,2
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,313,4
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,315,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,325,3
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,343,2
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,353,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,356,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,357,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,358,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,370,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,372,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,378,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,403,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,404,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,412,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,447,1
13,125,50,0.2,0.9,0.15,0.1,1,1,2,40,"post_fragmentation","all",1,11,1,11,1,375,454,2
