sim_id,master_seed,grid_size,fragmentation,ac_amount,habitat,niche_breadth,edge_effect,dispersal,dispersal_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,651,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,656,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,676,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,677,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,683,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,695,3
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,701,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,702,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,710,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,726,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,738,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,741,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,744,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,745,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,753,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,764,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,778,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,790,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,791,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,802,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,809,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,828,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,839,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,846,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,848,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,856,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,867,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,868,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,2206,45,6,154,4,928,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,833,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,847,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,861,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,865,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,869,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,876,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,882,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,883,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,889,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,891,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,894,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,897,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,902,3
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,905,3
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,913,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,927,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,934,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,936,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,941,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,948,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,2162,44,12,147,16,975,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",3,495,10,45,33,11,324,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",3,495,10,45,33,11,369,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",3,495,10,45,33,11,370,2
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",3,495,10,45,33,11,382,1
36,890,50,0.8,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",3,495,10,45,33,11,384,1
