sim_id,master_seed,grid_size,fragmentation,ac_amount,habitat,niche_breadth,edge_effect,dispersal,dispersal_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,213,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,214,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,239,3
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,240,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,242,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,247,2
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,253,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,272,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,275,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,279,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,280,2
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,281,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,292,3
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,293,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,298,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,306,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,307,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,309,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,317,2
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,330,2
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,335,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,404,2
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",1,1253,26,3,5,359,420,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,1112,23,12,5,359,273,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,1112,23,12,5,359,340,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,1112,23,12,5,359,345,2
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,1112,23,12,5,359,367,1
20,874,50,0.5,0.7,0.15,0.1,1,1,2,40,"post_fragmentation","random",2,1112,23,12,5,359,402,1
