sim_id,master_seed,grid_size,fragmentation,ac_amount,habitat,niche_breadth,edge_effect,dispersal,dispersal_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",1,1951,40,1,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",2,655,14,5,1,2499,732,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",2,655,14,5,1,2499,806,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",2,655,14,5,1,2499,826,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",2,655,14,5,1,2499,842,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",3,1875,38,25,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",4,2287,46,37,1,2499,784,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",4,2287,46,37,1,2499,816,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",4,2287,46,37,1,2499,873,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",4,2287,46,37,1,2499,914,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",5,1733,35,33,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",6,2457,50,7,1,2499,347,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",6,2457,50,7,1,2499,499,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,1351,28,1,1,2499,281,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",8,1370,28,20,1,2499,338,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",8,1370,28,20,1,2499,371,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",9,1655,34,5,1,2499,27,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",9,1655,34,5,1,2499,31,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",9,1655,34,5,1,2499,110,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",10,421,9,21,1,2499,3,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",10,421,9,21,1,2499,24,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",10,421,9,21,1,2499,131,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",10,421,9,21,1,2499,159,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",11,1614,33,14,1,2499,180,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",11,1614,33,14,1,2499,225,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",12,1858,38,8,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",13,1298,26,48,1,2499,448,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",13,1298,26,48,1,2499,612,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",14,206,5,6,1,2499,577,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",15,508,11,8,1,2499,591,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",15,508,11,8,1,2499,647,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",16,176,4,26,1,2499,529,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",17,1139,23,39,1,2499,472,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",18,2010,41,10,1,2499,193,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",18,2010,41,10,1,2499,250,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",18,2010,41,10,1,2499,282,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",19,52,2,2,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",20,1250,25,50,1,2499,413,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",21,558,12,8,1,2499,571,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",22,2216,45,16,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",23,1388,28,38,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",24,980,20,30,1,2499,260,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",24,980,20,30,1,2499,377,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",24,980,20,30,1,2499,378,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",24,980,20,30,1,2499,404,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,500,10,50,1,2499,674,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,500,10,50,1,2499,701,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,500,10,50,1,2499,746,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,500,10,50,1,2499,777,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,500,10,50,1,2499,815,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,500,10,50,1,2499,835,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",26,1117,23,17,1,2499,6,2
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",26,1117,23,17,1,2499,9,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",26,1117,23,17,1,2499,98,1
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",27,1798,36,48,1,2499,NA,NA
59,549,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",28,2484,50,34,1,2499,864,1
