sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,edge_effect,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",1,362,8,12,1,2499,311,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",2,438,9,38,1,2499,461,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",2,438,9,38,1,2499,471,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",3,298,6,48,1,2499,685,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",3,298,6,48,1,2499,785,2
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",4,573,12,23,1,2499,387,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",5,2067,42,17,1,2499,31,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",5,2067,42,17,1,2499,32,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",5,2067,42,17,1,2499,106,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",6,1775,36,25,1,2499,137,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",6,1775,36,25,1,2499,168,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",7,35,1,35,1,2499,200,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",7,35,1,35,1,2499,246,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",7,35,1,35,1,2499,296,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",8,65,2,15,1,2499,234,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",8,65,2,15,1,2499,261,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",8,65,2,15,1,2499,276,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",9,467,10,17,1,2499,326,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",9,467,10,17,1,2499,353,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",10,824,17,24,1,2499,382,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",10,824,17,24,1,2499,504,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",10,824,17,24,1,2499,529,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",11,1579,32,29,1,2499,515,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",12,1248,25,48,1,2499,842,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",12,1248,25,48,1,2499,924,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",12,1248,25,48,1,2499,936,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",12,1248,25,48,1,2499,959,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",12,1248,25,48,1,2499,982,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",12,1248,25,48,1,2499,997,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",13,543,11,43,1,2499,833,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",13,543,11,43,1,2499,929,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",14,687,14,37,1,2499,574,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",14,687,14,37,1,2499,621,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",14,687,14,37,1,2499,653,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",15,2218,45,18,1,2499,49,1
76,415,50,0.7,1,NA,0.1,1,1,1,0,"start","random",15,2218,45,18,1,2499,75,1
