sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",23,749,15,49,1,2499,790,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",23,749,15,49,1,2499,843,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",24,96,2,46,1,2499,653,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",24,96,2,46,1,2499,704,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",25,1279,26,29,1,2499,NA,NA
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",26,1037,21,37,1,2499,NA,NA
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",27,1510,31,10,1,2499,418,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",28,240,5,40,1,2499,551,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",28,240,5,40,1,2499,599,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",28,240,5,40,1,2499,610,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",28,240,5,40,1,2499,647,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",29,1888,38,38,1,2499,449,1
"0083",215,50,0.7,1,NA,0.1,1,5,0,"start","random",30,1348,27,48,1,2499,811,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,71,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,119,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,155,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,167,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,168,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,187,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,192,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,200,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,205,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,214,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,220,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,223,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,226,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,240,1
