sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,edge_effect,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,17,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,26,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,28,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,68,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,69,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,74,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",1,2397,48,47,1,2499,113,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",2,528,11,28,1,2499,627,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",2,528,11,28,1,2499,667,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",3,401,9,1,1,2499,236,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",3,401,9,1,1,2499,270,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",3,401,9,1,1,2499,275,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",4,1881,38,31,1,2499,495,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",4,1881,38,31,1,2499,634,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",5,899,18,49,1,2499,489,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",5,899,18,49,1,2499,497,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",5,899,18,49,1,2499,535,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",5,899,18,49,1,2499,546,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",6,199,4,49,1,2499,244,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",6,199,4,49,1,2499,255,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",7,527,11,27,1,2499,674,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",7,527,11,27,1,2499,756,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",8,984,20,34,1,2499,785,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",8,984,20,34,1,2499,880,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",9,2045,41,45,1,2499,132,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",9,2045,41,45,1,2499,133,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",9,2045,41,45,1,2499,166,1
92,165,50,0.7,1,NA,0.1,2,1,2,0,"start","random",10,732,15,32,1,2499,972,1
