sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,edge_effect,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",1,1,1,1,1,2499,434,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",2,3,1,3,1,2499,313,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",3,5,1,5,1,2499,NA,NA
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",4,7,1,7,1,2499,279,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",4,7,1,7,1,2499,288,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",5,9,1,9,1,2499,338,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",5,9,1,9,1,2499,393,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",5,9,1,9,1,2499,449,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",6,11,1,11,1,2499,473,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",7,13,1,13,1,2499,269,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",8,15,1,15,1,2499,320,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",9,17,1,17,1,2499,311,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",10,19,1,19,1,2499,NA,NA
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",11,21,1,21,1,2499,204,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",11,21,1,21,1,2499,351,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",12,23,1,23,1,2499,345,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",12,23,1,23,1,2499,356,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",13,25,1,25,1,2499,NA,NA
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",14,27,1,27,1,2499,561,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",15,29,1,29,1,2499,733,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",15,29,1,29,1,2499,749,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",15,29,1,29,1,2499,752,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",15,29,1,29,1,2499,800,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",15,29,1,29,1,2499,831,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",15,29,1,29,1,2499,860,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,860,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,896,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,897,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,955,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,960,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,973,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,984,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",16,31,1,31,1,2499,1000,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,911,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,942,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,948,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,961,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,965,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,976,2
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",17,33,1,33,1,2499,991,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",18,35,1,35,1,2499,925,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",18,35,1,35,1,2499,939,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",18,35,1,35,1,2499,958,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",18,35,1,35,1,2499,997,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",19,37,1,37,1,2499,830,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",19,37,1,37,1,2499,938,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",19,37,1,37,1,2499,972,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",19,37,1,37,1,2499,991,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",20,39,1,39,1,2499,721,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",20,39,1,39,1,2499,875,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",20,39,1,39,1,2499,887,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",20,39,1,39,1,2499,907,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",21,41,1,41,1,2499,628,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",21,41,1,41,1,2499,725,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",21,41,1,41,1,2499,751,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",21,41,1,41,1,2499,756,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",21,41,1,41,1,2499,821,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",22,43,1,43,1,2499,535,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",22,43,1,43,1,2499,576,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",22,43,1,43,1,2499,588,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",23,45,1,45,1,2499,NA,NA
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",24,47,1,47,1,2499,466,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",25,49,1,49,1,2499,NA,NA
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",26,52,2,2,1,2499,NA,NA
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",27,54,2,4,1,2499,365,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",28,56,2,6,1,2499,374,1
107,538,50,0.7,1,NA,0.1,1,1,5,0,"start","checkerboard",29,58,2,8,1,2499,NA,NA
