sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,edge_effect,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",1,1819,37,19,1,2499,721,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",2,741,15,41,1,2499,NA,NA
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",3,428,9,28,1,2499,903,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",3,428,9,28,1,2499,916,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",4,2422,49,22,1,2499,NA,NA
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",5,727,15,27,1,2499,830,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",6,2094,42,44,1,2499,NA,NA
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",7,418,9,18,1,2499,910,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",7,418,9,18,1,2499,942,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",7,418,9,18,1,2499,987,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",8,1130,23,30,1,2499,438,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",8,1130,23,30,1,2499,479,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",9,1407,29,7,1,2499,485,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",10,1532,31,32,1,2499,309,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",10,1532,31,32,1,2499,325,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",10,1532,31,32,1,2499,341,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",10,1532,31,32,1,2499,457,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",11,62,2,12,1,2499,939,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",12,1862,38,12,1,2499,733,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",13,1673,34,23,1,2499,658,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",13,1673,34,23,1,2499,699,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",14,1625,33,25,1,2499,NA,NA
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",15,1698,34,48,1,2499,56,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",15,1698,34,48,1,2499,113,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",15,1698,34,48,1,2499,149,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",16,1144,23,44,1,2499,374,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",17,2036,41,36,1,2499,218,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",17,2036,41,36,1,2499,321,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",17,2036,41,36,1,2499,354,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",17,2036,41,36,1,2499,366,1
99,731,50,0.7,1,NA,0.1,1,1,2,0,"start","random",18,2026,41,26,1,2499,562,1
