sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,edge_effect,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",1,1,1,1,1,2499,27,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",1,1,1,1,1,2499,35,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",1,1,1,1,1,2499,53,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",2,3,1,3,1,2499,2,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",2,3,1,3,1,2499,7,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",2,3,1,3,1,2499,26,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",2,3,1,3,1,2499,106,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",3,5,1,5,1,2499,92,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",3,5,1,5,1,2499,141,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,102,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,142,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,174,2
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,176,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,228,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,236,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",4,7,1,7,1,2499,267,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",5,9,1,9,1,2499,306,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",5,9,1,9,1,2499,309,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",6,11,1,11,1,2499,368,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",6,11,1,11,1,2499,413,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",6,11,1,11,1,2499,467,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",6,11,1,11,1,2499,481,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",6,11,1,11,1,2499,491,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",7,13,1,13,1,2499,479,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",8,15,1,15,1,2499,683,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",8,15,1,15,1,2499,724,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",9,17,1,17,1,2499,645,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",9,17,1,17,1,2499,744,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",10,19,1,19,1,2499,662,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",10,19,1,19,1,2499,767,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",10,19,1,19,1,2499,802,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",11,21,1,21,1,2499,595,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",11,21,1,21,1,2499,634,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",11,21,1,21,1,2499,645,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",11,21,1,21,1,2499,738,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",11,21,1,21,1,2499,750,1
77,416,50,0.7,1,NA,0.1,1,1,1,0,"start","checkerboard",12,23,1,23,1,2499,548,1
